Gaia17aae,2016-12-19 23:18:47,329.81732,-15.48225,18.69,,,"unknown",2017-01-01
Gaia17aad,2016-12-03 08:49:47,49.74810,-59.63577,17.95,,,"unknown",2017-01-01
Gaia17aac,2016-11-27 17:27:50,273.28297,51.41680,16.36,,,"unknown",2017-01-01
Gaia17aab,2016-12-31 00:41:23,284.65734,46.65901,18.91,,,"unknown",2017-01-01
Gaia17aaa,2016-12-31 06:29:00,294.35892,37.53686,18.40,,,"unknown",2017-01-01
Gaia16cgo,2016-12-30 06:29:09,296.51730,39.71135,17.53,18.93,0.40,"unknown",2016-12-31
Gaia16cgn,2016-12-30 07:43:09,121.15885,-33.59570,18.44,,,"unknown",2016-12-31
Gaia16cgm,2016-12-30 07:55:50,111.24529,-45.10102,18.69,,,"unknown",2016-12-31
Gaia16cgl,2016-12-30 08:52:47,3.37839,-54.83233,18.62,,,"unknown",2016-12-31
Gaia16cgk,2016-12-30 12:30:55,294.57647,40.47943,18.93,,,"unknown",2016-12-31
Gaia16cgj,2016-12-05 17:50:16,210.92040,63.50537,19.54,,,"unknown",2016-12-31
Gaia16cgi,2016-12-29 15:13:01,339.35354,-38.61402,18.19,,,"unknown",2016-12-31
Gaia16cgh,2016-12-08 23:55:25,180.86050,61.40591,18.09,,,"unknown",2016-12-31
Gaia16cgg,2016-12-18 11:06:01,329.47335,-27.05702,18.08,,,"unknown",2016-12-31
Gaia16cgf,2016-12-28 13:19:01,135.05561,-13.63398,16.33,,,"SN
Gaia16cge,2016-11-30 16:11:10,101.71401,-64.95714,16.72,,,"SN
Gaia16cgd,2016-12-28 02:10:50,99.90278,-65.73782,18.30,,,"unknown",2016-12-31
Gaia16cgc,2016-12-06 22:29:21,17.51016,-70.34924,16.42,,,"SN
Gaia16cgb,2016-12-28 16:51:43,295.71397,50.15298,18.41,,,"unknown",2016-12-31
Gaia16cga,2016-12-27 23:58:45,314.69724,17.30297,18.39,,,"unknown",2016-12-31
Gaia16cfz,2016-12-14 12:11:45,156.04447,43.40687,17.98,,,"unknown",2016-12-31
Gaia16cfy,2016-12-28 06:20:33,155.22831,41.58879,18.78,,,"unknown",2016-12-31
Gaia16cfx,2016-12-28 18:20:08,157.40726,41.67955,17.67,,,"CV",2016-12-31
Gaia16cfw,2016-12-27 14:38:23,6.80742,-70.97509,18.94,,,"unknown",2016-12-30
Gaia16cfv,2016-12-15 12:11:25,151.07734,43.42457,16.99,,,"SN
Gaia16cfu,2016-12-26 20:13:20,148.43391,35.78389,18.11,,,"unknown",2016-12-30
Gaia16cft,2016-12-25 10:30:35,318.01892,36.59153,16.34,,,"unknown",2016-12-28
Gaia16cfs,2016-12-25 07:54:41,135.33075,-58.08876,18.14,17.16,0.09,"unknown",2016-12-27
Gaia16cfr,2016-12-01 14:19:16,114.10815,-69.54868,19.63,,,"unknown",2016-12-27
Gaia16cfq,2016-12-25 10:32:28,317.98821,38.31316,18.29,,,"unknown",2016-12-27
Gaia16cfp,2016-12-25 14:57:22,140.53575,-9.75488,18.96,,,"unknown",2016-12-27
Gaia16cfo,2016-12-25 13:57:10,131.77867,-60.13830,18.57,,,"unknown",2016-12-27
Gaia16cfn,2016-12-24 19:18:32,141.90462,-19.25955,15.11,17.84,0.15,"unknown",2016-12-26
Gaia16cfm,2016-12-13 10:32:17,324.02467,-58.52905,20.55,,,"unknown",2016-12-26
Gaia16cfl,2016-12-11 14:39:20,325.34710,-66.29935,19.31,,,"unknown",2016-12-26
Gaia16cfk,2016-11-29 15:51:20,138.87630,-59.16764,17.49,,,"unknown",2016-12-26
Gaia16cfj,2016-12-24 13:55:21,140.78343,-60.25803,18.91,,,"unknown",2016-12-26
Gaia16cfi,2016-12-24 05:34:15,142.84505,84.53939,18.50,,,"unknown",2016-12-26
Gaia16cfh,2016-12-10 23:46:24,148.59460,68.33433,18.92,,,"unknown",2016-12-26
Gaia16cfg,2016-12-17 08:58:45,322.04623,-45.26988,19.33,,,"unknown",2016-12-25
Gaia16cff,2016-12-10 20:33:14,318.35737,-71.69508,18.15,,,"unknown",2016-12-25
Gaia16cfe,2016-12-23 13:32:30,146.90748,-36.43280,17.72,,,"unknown",2016-12-25
Gaia16cfd,2016-12-23 19:40:07,145.61319,-44.50138,18.94,,,"unknown",2016-12-25
Gaia16cfc,2016-12-23 12:58:06,144.38494,0.99983,18.98,,,"unknown",2016-12-25
Gaia16cfb,2016-12-23 22:48:07,325.66636,53.37828,18.40,,,"unknown",2016-12-25
Gaia16cfa,2016-12-23 16:42:37,326.70103,48.46320,18.09,,,"unknown",2016-12-25
Gaia16cez,2016-12-13 05:51:27,140.43064,61.53324,19.63,,,"unknown",2016-12-25
Gaia16cey,2016-12-22 11:24:15,325.29993,-10.81482,19.01,19.59,0.06,"unknown",2016-12-24
Gaia16cex,2016-12-22 19:37:01,150.96965,-42.33818,18.52,,,"unknown",2016-12-24
Gaia16cew,2016-12-22 06:08:59,331.67108,30.24326,18.47,,,"unknown",2016-12-24
Gaia16cev,2016-12-22 06:47:16,145.64378,10.99316,17.39,,,"unknown",2016-12-24
Gaia16ceu,2016-12-21 19:00:35,149.13117,-3.66027,18.62,,,"unknown",2016-12-23
Gaia16cet,2016-12-21 21:25:17,324.40953,-22.30277,18.65,,,"unknown",2016-12-23
Gaia16ces,2016-12-21 02:00:56,181.46059,-67.95879,17.17,,,"unknown",2016-12-23
Gaia16cer,2016-12-21 01:47:48,167.33976,-55.03898,18.67,,,"unknown",2016-12-23
Gaia16ceq,2016-12-21 14:46:30,149.42166,-3.21282,17.74,,,"unknown",2016-12-23
Gaia16cep,2016-12-21 01:02:17,151.68953,-6.19608,18.36,,,"unknown",2016-12-23
Gaia16ceo,2016-12-21 01:02:25,151.69571,-6.34140,18.76,,,"unknown",2016-12-23
Gaia16cen,2016-12-20 10:54:49,321.46732,-37.40385,17.62,,,"SN
Gaia16cem,2016-12-20 08:03:07,193.13214,-69.08113,18.56,,,"unknown",2016-12-22
Gaia16cel,2016-12-10 10:04:14,267.80840,-75.26208,20.39,,,"unknown",2016-12-22
Gaia16cek,2016-11-28 01:40:42,162.77259,-42.48102,18.30,,,"unknown",2016-12-22
Gaia16cej,2016-12-20 07:53:03,178.01249,-60.12802,18.21,,,"unknown",2016-12-22
Gaia16cei,2016-12-20 15:53:15,332.74580,3.48216,17.88,,,"unknown",2016-12-22
Gaia16ceh,2016-12-20 05:26:27,330.86621,-8.46861,18.67,,,"unknown",2016-12-22
Gaia16ceg,2016-12-20 16:38:19,344.04117,43.30500,18.88,,,"unknown",2016-12-22
Gaia16cef,2016-11-27 16:45:07,342.47390,40.58955,18.71,,,"unknown",2016-12-22
Gaia16cee,2016-12-20 12:02:12,338.05331,23.45040,18.05,,,"unknown",2016-12-22
Gaia16ced,2016-11-12 14:57:22,146.01810,22.99899,20.63,,,"unknown",2016-12-22
Gaia16cec,2016-12-19 23:13:52,328.47487,-19.90368,18.88,,,"unknown",2016-12-21
Gaia16ceb,2016-12-20 02:06:05,202.82288,-70.80705,18.06,,,"unknown",2016-12-21
Gaia16cea,2016-11-16 21:03:11,151.37328,5.66844,18.05,,,"unknown",2016-12-21
Gaia16cdz,2016-11-27 22:42:21,346.68928,39.21431,20.22,,,"unknown",2016-12-21
Gaia16cdy,2016-12-20 01:17:02,74.87303,75.26221,18.84,,,"unknown",2016-12-21
Gaia16cdx,2016-12-18 13:58:28,199.80695,-63.17890,18.66,,,"unknown",2016-12-20
Gaia16cdw,2016-11-21 03:01:10,163.32587,-8.03900,20.01,,,"unknown",2016-12-20
Gaia16cdv,2016-11-24 07:21:26,166.45298,-20.79685,17.39,,,"unknown",2016-12-20
Gaia16cdu,2016-12-19 01:35:29,173.40788,-42.24840,18.84,,,"unknown",2016-12-20
Gaia16cdt,2016-12-18 22:03:04,341.44314,11.12899,18.55,,,"unknown",2016-12-20
Gaia16cds,2016-12-19 07:47:40,180.70681,-54.37974,16.05,,,"unknown",2016-12-20
Gaia16cdr,2016-12-18 11:05:21,329.38316,-27.70577,18.85,,,"unknown",2016-12-20
Gaia16cdq,2016-12-02 13:37:21,186.70209,-48.76788,18.97,,,"unknown",2016-12-19
Gaia16cdp,2016-12-17 14:07:50,225.75363,-67.70370,16.82,,,"unknown",2016-12-19
Gaia16cdo,2016-12-18 00:45:29,157.73442,9.72267,18.80,,,"unknown",2016-12-19
Gaia16cdn,2016-12-17 18:48:36,160.27667,6.52858,17.99,,,"unknown",2016-12-19
Gaia16cdm,2016-11-21 07:14:23,163.85378,-8.13443,18.36,,,"unknown",2016-12-19
Gaia16cdl,2016-12-18 03:37:03,336.85610,-12.13594,17.98,,,"unknown",2016-12-19
Gaia16cdk,2016-12-17 11:22:38,338.63865,-13.34021,17.54,,,"unknown",2016-12-19
Gaia16cdj,2016-12-18 00:28:27,151.31286,27.15499,18.93,,,"unknown",2016-12-19
Gaia16cdi,2016-12-17 18:33:23,154.14255,22.08739,17.90,,,"unknown",2016-12-19
Gaia16cdh,2016-12-17 03:27:48,337.03907,-20.84885,18.10,,,"unknown",2016-12-18
Gaia16cdg,2016-12-16 11:07:32,336.49128,-27.06202,18.96,,,"unknown",2016-12-18
Gaia16cdf,2016-12-17 00:40:10,159.93566,15.03466,18.14,,,"unknown",2016-12-18
Gaia16cde,2016-12-17 01:00:56,168.11412,-6.48224,18.99,,,"unknown",2016-12-18
Gaia16cdd,2016-12-16 15:31:02,340.15552,-18.61754,18.43,,,"unknown",2016-12-18
Gaia16cdc,2016-12-17 06:18:53,148.73049,36.25076,17.73,,,"unknown",2016-12-18
Gaia16cdb,2016-12-02 16:44:43,8.44269,46.74606,18.81,,,"unknown",2016-12-18
Gaia16cda,2016-12-15 22:43:15,10.79631,41.23248,18.46,,,"unknown",2016-12-17
Gaia16ccz,2016-12-16 05:00:29,334.26877,-33.24349,18.50,,,"unknown",2016-12-17
Gaia16ccy,2016-12-15 10:52:46,333.03568,-40.42738,18.80,,,"unknown",2016-12-17
Gaia16ccx,2016-11-09 05:43:56,330.25585,-40.25757,17.22,,,"unknown",2016-12-17
Gaia16ccw,2016-11-30 21:10:11,187.78822,-35.93064,15.54,,,"SN
Gaia16ccv,2016-12-15 19:03:57,175.37853,-9.56180,18.58,,,"unknown",2016-12-17
Gaia16ccu,2016-12-16 00:29:23,159.34329,25.87674,18.31,,,"unknown",2016-12-17
Gaia16cct,2016-12-14 09:12:16,340.87934,-36.86459,17.90,,,"unknown",2016-12-16
Gaia16ccs,2016-12-14 12:46:28,173.75718,8.47366,16.46,,,"unknown",2016-12-16
Gaia16ccr,2016-12-15 00:53:22,174.32789,1.33997,17.56,,,"unknown",2016-12-16
Gaia16ccq,2016-11-28 01:09:32,186.84104,-21.56047,17.29,,,"unknown",2016-12-16
Gaia16ccp,2016-12-14 02:51:02,327.02224,-53.99531,18.38,,,"unknown",2016-12-15
Gaia16cco,2016-11-05 17:35:32,327.94587,-55.73836,17.84,,,"SN
Gaia16ccn,2016-12-14 02:23:14,278.12681,-68.36433,18.86,,,"unknown",2016-12-15
Gaia16ccm,2016-11-27 07:06:16,186.68255,-18.06834,20.08,,,"unknown",2016-12-15
Gaia16ccl,2016-12-14 05:45:40,124.31294,64.26539,18.78,,,"unknown",2016-12-15
